sales_id,transaction_date,transaction_time,customer_id,product_id,quantity,unit_price,total_price
1,2019-04-01,07:01:20,5658,22,2,2,4
2,2019-04-01,07:02:34,5163,30,2,3,6
3,2019-04-01,07:02:56,5197,22,1,2,2
4,2019-04-01,07:03:30,5247,22,2,2,4
5,2019-04-01,07:04:24,5333,37,1,3,3
6,2019-04-01,07:06:11,5465,32,2,3,6
7,2019-04-01,07:06:29,5923,46,1,2.5,2.5
8,2019-04-01,07:06:32,5627,22,1,2,2
9,2019-04-01,07:07:09,5340,59,2,4.5,9
10,2019-04-01,07:07:19,5806,61,1,4.75,4.75
11,2019-04-01,07:08:56,5895,57,2,3.35,6.2
12,2019-04-01,07:09:09,5583,49,1,3,3
13,2019-04-01,07:09:59,5073,61,2,4.75,9.5
14,2019-04-01,07:12:10,5050,45,1,3,3
15,2019-04-01,07:14:04,5412,59,2,4.5,9
16,2019-04-01,07:15:02,5376,34,1,2.45,2.45
17,2019-04-01,07:18:04,5224,44,1,2.5,2.5
18,2019-04-01,07:19:13,5439,39,1,4.5,4.25
19,2019-04-01,07:19:13,5439,77,1,3,3
20,2019-04-01,07:20:00,5720,54,2,2.75,5
21,2019-04-01,07:20:24,5676,22,1,2,2
22,2019-04-01,07:20:59,5907,50,2,2.5,5
23,2019-04-01,07:21:23,5921,54,2,2.75,5
24,2019-04-01,07:22:41,5162,40,1,4,3.75
25,2019-04-01,07:22:41,5479,57,2,3.35,6.2
26,2019-04-01,07:22:41,5479,77,1,3,3
27,2019-04-01,07:24:20,5514,53,1,3.25,3
28,2019-04-01,07:25:09,5743,56,2,2.8,5.1
29,2019-04-01,07:25:09,5743,74,1,3.5,3.5
30,2019-04-01,07:25:39,5164,47,2,3,6
31,2019-04-01,07:25:49,5543,22,1,2,2
32,2019-04-01,07:26:59,5178,27,2,3.5,7
33,2019-04-01,07:27:26,5635,53,2,3.25,6
34,2019-04-01,07:27:31,5672,32,1,3,3
35,2019-04-01,07:27:31,5672,71,1,3.75,3.75
36,2019-04-01,07:32:03,5630,61,2,4.75,9.5
37,2019-04-01,07:33:34,5195,28,2,2,4
38,2019-04-01,07:39:13,5231,39,1,4.5,4.25
39,2019-04-01,07:39:34,5489,58,2,3.5,7
40,2019-04-01,07:41:18,5227,34,2,2.45,4.9
